t,x,y,z,K11,K12,K13,K21,K22,K23,K31,K32,K33,D11,D12,D13,D21,D22,D23,D31,D32,D33
5.270000000000000240e-01,2.603365024473759393e-01,4.858573935448926573e-01,3.851999260886606602e-01,3.091703118564548731e+02,-9.256077694835047609e-01,-8.334401172324633933e+01,-9.256077694835047609e-01,1.791869419578265195e+02,1.389143164161455672e+02,-8.334401172324633933e+01,1.389143164161455672e+02,-3.018834122630569254e+02,-2.792386748332168711e+00,-8.204848457455480304e-01,1.798550790709392722e+00,-8.204848457455480304e-01,-4.852284889969313397e+00,-6.540906948764872997e-01,1.798550790709392722e+00,-6.540906948764872997e-01,-2.708861846577026888e+00
5.280000000000000249e-01,2.595493016339988634e-01,4.863257726878801313e-01,3.849340076741166183e-01,3.099665955784231528e+02,-9.698417154321110623e-01,-8.344414562914025169e+01,-9.698417154321110623e-01,1.795856637998885788e+02,1.392087369747075627e+02,-8.344414562914025169e+01,1.392087369747075627e+02,-3.023828654057501808e+02,-2.905655624240535584e+00,-8.702121394154853640e-01,1.877065449247372175e+00,-8.702121394154853640e-01,-5.049065608455701515e+00,-6.740648740084366208e-01,1.877065449247372175e+00,-6.740648740084366208e-01,-2.887169399069813291e+00
5.290000000000000258e-01,2.587612885674721586e-01,4.867974923731248627e-01,3.846739926093424300e-01,3.107713436579393260e+02,-1.016119083348017149e+00,-8.354227973935505247e+01,-1.016119083348017149e+00,1.799865904234898153e+02,1.395045547579612162e+02,-8.354227973935505247e+01,1.395045547579612162e+02,-3.028805942807715041e+02,-3.016491394619131405e+00,-9.210495553431022886e-01,1.955761462322672228e+00,-9.210495553431022886e-01,-5.244511331830548961e+00,-6.935762909017002542e-01,1.955761462322672228e+00,-6.935762909017002542e-01,-3.068605096363651974e+00
5.300000000000000266e-01,2.579725552819286949e-01,4.872724576281947106e-01,3.844201834712986376e-01,3.115845951507228051e+02,-1.064458080709874688e+00,-8.363845323682076582e+01,-1.064458080709874688e+00,1.803897190081478925e+02,1.398017881938619098e+02,-8.363845323682076582e+01,1.398017881938619098e+02,-3.033766761514145855e+02,-3.124858746102688656e+00,-9.729635293127003592e-01,2.034572942932577178e+00,-9.729635293127003592e-01,-5.438636718386405278e+00,-7.126137047888005949e-01,2.034572942932577178e+00,-7.126137047888005949e-01,-3.253176977875441800e+00
5.310000000000000275e-01,2.571831842542177671e-01,4.877505691593429504e-01,3.841728955277685653e-01,3.124063877592192284e+02,-1.114875294297600128e+00,-8.373270765838715590e+01,-1.114875294297600128e+00,1.807950461813678658e+02,1.401004555835060330e+02,-8.373270765838715590e+01,1.401004555835060330e+02,-3.038711881066744809e+02,-3.230724659409225374e+00,-1.025919950755472820e+00,2.113434860936661330e+00,-1.025919950755472820e+00,-5.631457088534985722e+00,-7.311665502251027959e-01,2.113434860936661330e+00,-7.311665502251027959e-01,-3.440891494319463284e+00
5.320000000000000284e-01,2.563932482184977935e-01,4.882317232682299446e-01,3.839324575893529046e-01,3.132367577469468074e+02,-1.167385686760847641e+00,-8.382508680737738871e+01,-1.167385686760847641e+00,1.812025680046072296e+02,1.404005750747644754e+02,-8.382508680737738871e+01,1.404005750747644754e+02,-3.043642069727437729e+02,-3.334058428000424179e+00,-1.079884196357857595e+00,2.192283100540827867e+00,-1.079884196357857595e+00,-5.822988414478414754e+00,-7.492249317342398740e-01,2.192283100540827867e+00,-7.492249317342398740e-01,-3.631753529372676148e+00
5.330000000000000293e-01,2.556028100036669137e-01,4.887158117732405271e-01,3.836992128750736919e-01,3.140757398549026789e+02,-1.222002596046972922e+00,-8.391563666322106485e+01,-1.222002596046972922e+00,1.816122799606412457e+02,1.407021646365454615e+02,-8.391563666322106485e+01,1.407021646365454615e+02,-3.048558092261436059e+02,-3.434831673150812392e+00,-1.134821164097658208e+00,2.271054515569038479e+00,-1.134821164097658208e+00,-6.013247308894842824e+00,-7.667796181813535394e-01,2.271054515569038479e+00,-7.667796181813535394e-01,-3.825766420556489855e+00
5.340000000000000302e-01,2.548119223976124115e-01,4.892027219393362270e-01,3.834735198912743170e-01,3.149233672202777257e+02,-1.278737737662580587e+00,-8.400440528844032428e+01,-1.278737737662580587e+00,1.820241769423772951e+02,1.410052420337137278e+02,-8.400440528844032428e+01,1.410052420337137278e+02,-3.053460709085061353e+02,-3.533018355434995428e+00,-1.190695307663674818e+00,2.349686982469484597e+00,-1.190695307663674818e+00,-6.202251012656370577e+00,-7.838220368964839979e-01,2.349686982469484597e+00,-7.838220368964839979e-01,-4.022931979291719529e+00
5.350000000000000311e-01,2.540206280361732571e-01,4.896923364146578139e-01,3.832557533238121206e-01,3.157796712977201992e+02,-1.337601209736167585e+00,-8.409144273326394625e+01,-1.337601209736167585e+00,1.824382532431593518e+02,1.413098248026896897e+02,-8.409144273326394625e+01,1.413098248026896897e+02,-3.058350675430165211e+02,-3.628594782650115924e+00,-1.247470671214226279e+00,2.428119451007877405e+00,-1.247470671214226279e+00,-6.390017381599760071e+00,-8.003442675695328079e-01,2.428119451007877405e+00,-8.003442675695328079e-01,-4.223250510090671206e+00
5.360000000000000320e-01,2.532289593178232989e-01,4.901845331750517842e-01,3.830463049435971490e-01,3.166446817833756313e+02,-1.398601500842944212e+00,-8.417680093814506392e+01,-1.398601500842944212e+00,1.828545025486007489e+02,1.416159302277497432e+02,-8.417680093814506392e+01,1.416159302277497432e+02,-3.063228740525242983e+02,-3.721539614198361434e+00,-1.305110924429670360e+00,2.506291992606426877e+00,-1.305110924429670360e+00,-6.576564872373340975e+00,-8.163390359373621230e-01,2.506291992606426877e+00,-8.163390359373621230e-01,-4.426720828857396484e+00
