t,x,y,z,K11,K12,K13,K21,K22,K23,K31,K32,K33,D11,D12,D13,D21,D22,D23,D31,D32,D33
1.005000000000000115e+00,5.486538478014624243e-01,4.219127190616595025e-02,1.423623596787574885e-01,1.302840181809549165e+02,-1.566140600290028573e+01,1.002228975875405048e+00,-1.566140600290028573e+01,2.116167137574374522e+02,-7.498131797789687525e+00,1.002228975875405048e+00,-7.498131797789687525e+00,1.590628312540748652e+02,2.569644843986579374e+01,-9.127368845280290799e+00,7.602394165462796671e+00,-9.127368845280290799e+00,2.856709386584487831e+01,8.915623944043566951e+00,7.602394165462796671e+00,8.915623944043566951e+00,2.243144996744804232e+01
1.006000000000000005e+00,5.486669908523474914e-01,4.220826437360426786e-02,1.424295366913043981e-01,1.302536658308078188e+02,-1.568395423839871938e+01,1.007845061808676501e+00,-1.568395423839871938e+01,2.116216644813366656e+02,-7.500178147278309559e+00,1.007845061808676501e+00,-7.500178147278309559e+00,1.590697277734149111e+02,2.569128769216825958e+01,-9.139468476541276587e+00,7.607138947667693607e+00,-9.139468476541276587e+00,2.854341910028784213e+01,8.902353382959866224e+00,7.607138947667693607e+00,8.902353382959866224e+00,2.244137262576815317e+01
1.007000000000000117e+00,5.486800639793508738e-01,4.222522399480969912e-02,1.424966219951614987e-01,1.302233806594387602e+02,-1.570650369900206655e+01,1.013465063403473199e+00,-1.570650369900206655e+01,2.116265982013481732e+02,-7.502211691814732575e+00,1.013465063403473199e+00,-7.502211691814732575e+00,1.590766688072542649e+02,2.568613270646942581e+01,-9.151555456392481247e+00,7.611880649999200443e+00,-9.151555456392481247e+00,2.851978275433008747e+01,8.889083850599961423e+00,7.611880649999200443e+00,8.889083850599961423e+00,2.245130232639958479e+01
1.008000000000000007e+00,5.486930666892856356e-01,4.224215063375186263e-02,1.425636154695974211e-01,1.301931626040065737e+02,-1.572905434049658169e+01,1.019088960780851760e+00,-1.572905434049658169e+01,2.116315149271130451e+02,-7.504232434534128693e+00,1.019088960780851760e+00,-7.504232434534128693e+00,1.590836541776468778e+02,2.568098349651808832e+01,-9.163629760720127138e+00,7.616619266141347211e+00,-9.163629760720127138e+00,2.849618480345154836e+01,8.875815385077270747e+00,7.616619266141347211e+00,8.875815385077270747e+00,2.246123906461545516e+01
1.009000000000000119e+00,5.487059984899415044e-01,4.225904415626709903e-02,1.426305169943801743e-01,1.301630116015978444e+02,-1.575160611868854055e+01,1.024716734065363566e+00,-1.575160611868854055e+01,2.116364146683937975e+02,-7.506240378622194065e+00,1.024716734065363566e+00,-7.506240378622194065e+00,1.590906837067589947e+02,2.567584007605211127e+01,-9.175691365448724213e+00,7.621354789791886297e+00,-9.175691365448724213e+00,2.847262522285809894e+01,8.862548024535426450e+00,7.621354789791886297e+00,8.862548024535426450e+00,2.247118283568449115e+01
1.010000000000000009e+00,5.487188588901106279e-01,4.227590443007383375e-02,1.426973264497655713e-01,1.301329275892269948e+02,-1.577415898940446581e+01,1.030348363385156896e+00,-1.577415898940446581e+01,2.116412974350743923e+02,-7.508235527315164859e+00,1.030348363385156896e+00,-7.508235527315164859e+00,1.590977572168703489e+02,2.567070245879845203e+01,-9.187740246541178379e+00,7.626087214662319091e+00,-9.187740246541178379e+00,2.844910398748207214e+01,8.849281807148040357e+00,7.626087214662319091e+00,8.849281807148040357e+00,2.248113363487111371e+01
1.011000000000000121e+00,5.487316473996144417e-01,4.229273132478822417e-02,1.427640437164809373e-01,1.301029105038369664e+02,-1.579671290849141840e+01,1.035983828872097945e+00,-1.579671290849141840e+01,2.116461632371604935e+02,-7.510217883899850122e+00,1.035983828872097945e+00,-7.510217883899850122e+00,1.591048745303753265e+02,2.566557065847306873e+01,-9.199776379998818143e+00,7.630816534477910196e+00,-9.199776379998818143e+00,2.842562107198266474e+01,8.836016771118437418e+00,7.630816534477910196e+00,8.836016771118437418e+00,2.249109145743549476e+01
1.012000000000000011e+00,5.487443635293269839e-01,4.230952471193702435e-02,1.428306686757155330e-01,1.300729602822994480e+02,-1.581926783181717155e+01,1.041623110661872298e+00,-1.581926783181717155e+01,2.116510120847793814e+02,-7.512187451713645103e+00,1.041623110661872298e+00,-7.512187451713645103e+00,1.591120354697841321e+02,2.566044468878090967e+01,-9.211799741861479873e+00,7.635542742977698971e+00,-9.211799741861479873e+00,2.840217645074640984e+01,8.822752954679396353e+00,7.635542742977698971e+00,8.822752954679396353e+00,2.250105629863366019e+01
1.013000000000000123e+00,5.487570067912023175e-01,4.232628446497248981e-02,1.428972012091065946e-01,1.300430768614152726e+02,-1.584182371527052524e+01,1.047266188894106165e+00,-1.584182371527052524e+01,2.116558439881801235e+02,-7.514144234144553458e+00,1.047266188894106165e+00,-7.514144234144553458e+00,1.591192398577240112e+02,2.565532456341584933e+01,-9.223810308207585962e+00,7.640265833914521743e+00,-9.223810308207585962e+00,2.837877009788768135e+01,8.809490396092915176e+00,7.640265833914521743e+00,8.809490396092915176e+00,2.251102815371757160e+01
1.014000000000000012e+00,5.487695766982972900e-01,4.234301045928603319e-02,1.429636411987272315e-01,1.300132601779148445e+02,-1.586438051476150335e+01,1.052913043712468744e+00,-1.586438051476150335e+01,2.116606589577335171e+02,-7.516088234631207676e+00,1.052913043712468744e+00,-7.516088234631207676e+00,1.591264875169403297e+02,2.565021029606063863e+01,-9.235808055154144824e+00,7.644985801055002028e+00,-9.235808055154144824e+00,2.835540198724920558e+01,8.796229133649992704e+00,7.644985801055002028e+00,8.796229133649992704e+00,2.252100701793516535e+01
1.015000000000000124e+00,5.487820727647970687e-01,4.235970257222097107e-02,1.430299885270781557e-01,1.299835101684584231e+02,-1.588693818622162368e+01,1.058563655264791237e+00,-1.588693818622162368e+01,2.116654570039322891e+02,-7.518019456662891287e+00,1.058563655264791237e+00,-7.518019456662891287e+00,1.591337782702977393e+02,2.564510190038681614e+01,-9.247792958856891232e+00,7.649702638179586067e+00,-9.247792958856891232e+00,2.833207209240241298e+01,8.782969205670287494e+00,7.649702638179586067e+00,8.782969205670287494e+00,2.253099288653046628e+01
1.016000000000000014e+00,5.487944945060405644e-01,4.237636068308602705e-02,1.430962430770733873e-01,1.299538267696365779e+02,-1.590949668560412888e+01,1.064218003703170101e+00,-1.590949668560412888e+01,2.116702381373910953e+02,-7.519937903779552180e+00,1.064218003703170101e+00,-7.519937903779552180e+00,1.591411119407814567e+02,2.563999939005472228e+01,-9.259764995510298746e+00,7.654416339082547260e+00,-9.259764995510298746e+00,2.830878038664801721e+01,8.769710650501934879e+00,7.654416339082547260e+00,8.769710650501934879e+00,2.254098575474366228e+01
1.017000000000000126e+00,5.488068414385425253e-01,4.239298467316739844e-02,1.431624047320337878e-01,1.299242099179705292e+02,-1.593205596888424225e+01,1.069876069184086509e+00,-1.593205596888424225e+01,2.116750023688464353e+02,-7.521843579571831029e+00,1.069876069184086509e+00,-7.521843579571831029e+00,1.591484883514982585e+02,2.563490277871343537e+01,-9.271724141347668535e+00,7.659126897572003934e+00,-9.271724141347668535e+00,2.828552684301648057e+01,8.756453506521271635e+00,7.659126897572003934e+00,8.756453506521271635e+00,2.255098561781118249e+01
1.018000000000000016e+00,5.488191130800197381e-01,4.240957442574167652e-02,1.432284733756751804e-01,1.298946595499125465e+02,-1.595461599205937908e+01,1.075537831868507377e+00,-1.595461599205937908e+01,2.116797497091569937e+02,-7.523736487681067509e+00,1.075537831868507377e+00,-7.523736487681067509e+00,1.591559073256778163e+02,2.562981208000068278e+01,-9.283670372641156021e+00,7.663834307469917562e+00,-9.283670372641156021e+00,2.826231143426852199e+01,8.743197812132597946e+00,7.663834307469917562e+00,8.743197812132597946e+00,2.256099247096574345e+01
1.019000000000000128e+00,5.488313089494134545e-01,4.242612982608703204e-02,1.432944488921001347e-01,1.298651756018463459e+02,-1.597717671114944693e+01,1.081203271922006603e+00,-1.597717671114944693e+01,2.116844801693034697e+02,-7.525616631799330492e+00,1.081203271922006603e+00,-7.525616631799330492e+00,1.591633686866736639e+02,2.562472730754284811e+01,-9.295603665701863250e+00,7.668538562612123854e+00,-9.295603665701863250e+00,2.823913413289556829e+01,8.729943605767902071e+00,7.668538562612123854e+00,8.729943605767902071e+00,2.257100630943648767e+01
1.020000000000000018e+00,5.488434285669139268e-01,4.244265076149535826e-02,1.433603311657903889e-01,1.298357580100873463e+02,-1.599973808219701610e+01,1.086872369514864767e+00,-1.599973808219701610e+01,2.116891937603887754e+02,-7.527484015669427819e+00,1.086872369514864767e+00,-7.527484015669427819e+00,1.591708722579645041e+02,2.561964847495488939e+01,-9.307523996879895734e+00,7.673239656848330981e+00,-9.307523996879895734e+00,2.821599491112030123e+01,8.716690925886624086e+00,7.673239656848330981e+00,8.716690925886624086e+00,2.258102712844902271e+01
1.021000000000000130e+00,5.488554714539820578e-01,4.245913712128288747e-02,1.434261200815977189e-01,1.298064067108832376e+02,-1.602230006126763229e+01,1.092545104822190138e+00,-1.602230006126763229e+01,2.116938904936378378e+02,-7.529338643084923177e+00,1.092545104822190138e+00,-7.529338643084923177e+00,1.591784178631552891e+02,2.561457559584029298e+01,-9.319431342564394427e+00,7.677937584042136443e+00,-9.319431342564394427e+00,2.819289374089710520e+01,8.703439810975378776e+00,7.677937584042136443e+00,8.703439810975378776e+00,2.259105492322547803e+01
1.022000000000000020e+00,5.488674371333759350e-01,4.247558879680150834e-02,1.434918155247369431e-01,1.297771216404141796e+02,-1.604486260444999957e+01,1.098221458024018826e+00,-1.604486260444999957e+01,2.116985703803980527e+02,-7.531180517890159187e+00,1.098221458024018826e+00,-7.531180517890159187e+00,1.591860053259784422e+02,2.560950868379100953e+01,-9.331325679183613886e+00,7.682632338071028855e+00,-9.331325679183613886e+00,2.816983059391258237e+01,8.690190299547722930e+00,7.682632338071028855e+00,8.690190299547722930e+00,2.260108968898462578e+01
1.023000000000000131e+00,5.488793251291690378e-01,4.249200568144918116e-02,1.435574173807796505e-01,1.297479027347933425e+02,-1.606742566785626281e+01,1.103901409305435122e+00,-1.606742566785626281e+01,2.117032334321389726e+02,-7.533009643980267178e+00,1.103901409305435122e+00,-7.533009643980267178e+00,1.591936344702947963e+02,2.560444775238747894e+01,-9.343206983205014637e+00,7.687323912826433236e+00,-9.343206983205014637e+00,2.814680544158610687e+01,8.676942430143883556e+00,7.687323912826433236e+00,8.676942430143883556e+00,2.261113142094198736e+01
